בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under a Threat of Extinction: Three cheetah cubs were born in Iran	yes
זו מראה של חיינו ואני אישית מרגישה שעברתי צמיחה רגשית מצפייה בעצמי.	It's a reflection of our lives, and personally, I feel that I've undergone emotional growth from watching myself.	no
קנדל וקיילי היו ילדות קטנות כשהתחלנו, אז הן יותר מציבות גבולות".	Kendall and Kylie were young children when we started, so they are setting boundaries more now”.	no
"התבגרתי"	"I grew up."	no
קים קרדשיאן, מצדה, ממשיכה בכל הכוח לשנות את התדמית שלה, מטראש-ריאליטי זול לעורכת דין עם אג'נדה.	Kim Kardashian, from her side, continues to work vigorously to change her image, transitioning from a trash-reality persona to a lawyer with an agenda.	no
"התבגרתי", היא טוענת, "אני מגדלת ארבעה ילדים שחורים, כלומר מקהילה נרדפת שמופלית לרעה במדינה הזאת.	"I've matured," she claims, "I'm raising four black children, which means from a persecuted community that faces adversity in this country.	no
אני רוצה לשנות את המציאות, כדי שלילדיי ולילדיהם של כל חבריי יהיה עתיד שונה, בתקווה שנוכל לרפא את המערכת העקומה.	I want to change the reality, so that my children and the children of all my friends will have a different future, in the hope that we can heal the broken system.	no
זוהי המוטיבציה שלי".	This is my motivation".	no
"אני כבר לא אותה קים שחושבת שעות על איזה סלפי ביקיני כדאי להעלות", היא מתעקשת, "אבל זה גם לא נעלם לגמרי מחיי.	"I'm not the same Kim who used to think for hours about which bikini selfie to post," she insists, "but it hasn't completely disappeared from my life either.	no
אדם חייב להיות נאמן למי שהוא באמת ולקחת הכל בכיף".	A person needs to be true to who they really are and take everything with a sense of enjoyment."	no
על הסיבות לפיטורי המפיק שגילה אותן ריאן סיקרסט ועל הדרך החדשה והמאוד רווחית שלהן בתעשייה, המשמעות של המעבר לדיסני, מכונת היח"צ המשומנת של המשפחה והשפעתה על רווחיות המותג ועוד, בכתבה המלאה שתפורסם במגזין "שישבת".	About the reasons for the dismissal of the producer that revealed them, Ryan Seacrest, and about their new and highly profitable path in the industry, the significance of the transition to Disney, the family's well-oiled PR machine and its impact on the brand's profitability, and more, in the full article that will be published in the "ShiShabat" magazine.	no
אינדינגב בניחוח בינלאומי: אפגן וויגז מצטרפים אל אביתר בנאי ונגה ארז	IndieNegev with an international scent: Afgan Whigs join Eviatar Banai and Noga Erez.	yes
להקת הרוק האמריקאית מצטרפת אל שורת אמנים מקומיים שייקחו השנה חלק בפסטיבל המוזיקה המדברי, שנחשב לאירוע עלייה לרגל בקרב שוחרי מוזיקה רבים	The American rock band is joining the ranks of local artists who will take part in this year's desert music festival, considered a rising event among music enthusiasts.	yes
להקת אפגן וויגז, שלומי שבן, נגה ארז, אביתר בנאי ו-Tess הם בין השמות שייקחו חלק בפסטיבל אינדינגב, שיתקיים בין ה-20 ל-22 באוקטובר.	The bands Afghan Whigs, Shlomi Shaban, Noga Erez, Eviatar Banai and Tess are among the names that will take part in the IndieNegev Festival, which will be held from October 20th to 22nd.	yes
השנה יציין הפסטיבל 15 שנים להקמתו והיום (רביעי) מפרסמת הפקת הפסטיבל את רשימת המשתתפים באירוע המדברי.	This year, the festival will mark its 15th anniversary since its establishment, and today (Wednesday), the festival production will announce the list of participants in the Desert Music Festival event.	yes
מוזיקאים אחרים המופיעים בליינאפ כוללים את: הילה רוח, טדי נגוסה, דניאלה ספקטור, יובל מנדלסון והמסע לפולין, להקת המסך הלבן, ריף כהן, קרולינה, עטר מיינר, רבע לאפריקה, פול טראנק, עילי אשדות ורבים אחרים.	Other musicians appearing in the lineup include: Hila Ruach, Teddy Neguse, Daniela Spector, Yuval Mendelson and journey to Poland, White Screen Band, Reef Cohen, Karolina, Atar Meiner, Reva L'Afrika, Paul Tranque, Eili Ashdot, and many others.	yes
אינדינגב החל את דרכו בשנת 2007 כאירוע נישתי קטן, שאיגד את השמות החמים בסצנת האינדי הישראלית.	IndieNegev began its journey in 2007 as a small intimate event that brought together the emerging names in the Israeli indie music scene.	yes
עם השנים הוא הפך לאירוע עלייה לרגל עבור חובבי מוזיקה רבים, והחל לארח שמות בינלאומיים, לצד אמנים מיינסטרימים.	Over the years, it has grown into a highly anticipated event for many music enthusiasts, and began to host international names, alongside mainstream artists.	yes
אביב גפן ושרית חדד: פסטיבל חוצות היוצר בירושלים בהפתעות חדשות	Aviv Geffen and Sarit Hadad: Festival "Chutzot Hayotzer" in Jerusalem with new surprises	yes
הפסטיבל הבינלאומי בבירה, שהפך למסורת ויתקיים במספר מוקדים יציג מופעים מוזיקליים של אמנים מקומיים מובילים, וישלב מופעי קרקס ומיצגים אמנותיים חדשניים ומפתיעים	The International Festival in the Capital, which has become a tradition and will take place at various venues, will feature leading local musical performances and incorporate circus acts and innovative, surprising artistic presentations.	yes
.	.	no
כמו כל קיץ לאורך השנים, לצד החום, הלחות והשעמום של התלמידים, מגיע גם הפסטיבל הבינלאומי חוצות היוצר ירושלים, שכבר הפך למסורת בבירה ויתקיים במספר מוקדים (בהם גן מיטשל, בריכת הסולטן, אל מול מגדל דוד ולמרגלות חומות העיר העתיקה) - בין התאריכים 15-27 באוגוסט.	Like every summer throughout the years, alongside the heat, humidity, and students' boredom, the International Festival "Chutzot Hayotzer" in Jerusalem, that already become a tradition in the capital and will take place at various venues (including Mitchell Garden, the Sultan's Pool, opposite the Tower of David, and overlooking the walls of the Old City) between August 15th and 27th.	yes
במסגרת הפסטיבל יתקיימו בכל יום מופעים מוזיקליים של אמנים רבים בהם שרית חדד, קובי פרץ, אביב גפן והתעויוט שיארחו את החברים של נטאשה, שלומי שבת, עידן חביב, נתן גושן, נסרין קדרי, דני סנדרסון שיארח את תיסלם ואמיר דדון, נגה ארז ועוד.	As part of the festival, there will be daily musical performances by many artists, including Sarit Hadad, Kobi Peretz, Aviv Geffen, and HaTauyot hosting Nataasha's Friends, Shlomi Shabat, Idan Haviv, Nathan Goshen, Nasreen Kadri, Danny Sanderson hosting Tislam and Amir Dadon, Noga Erez, and more.	yes
לצד המוסיקה השנה יתקיימו שני מופעים מסקרנים.	Alongside the music, this year there will be two intriguing performances.	yes
הראשון הוא ARTISTA - תערוכת מיצגים מוארים במרחב הציבורי (עיצוב: פיליפ בלאו) עם דמויות מגלקסיות אחרות שיסתובבו בין המבקרים בתוך מבנה ויציגו הרפתקה שלמה באור וגם בלילה.	The first one is ARTISTA - an illuminated exhibition in the public space (design: Philippe Blau) along with other galactic characters who will roam among the visitors within a building and present a complete adventure in both daylight and at night.	yes
