בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three bridal puppies born in Iran	yes
להקת אפגן וויגז, שלומי שבן, נגה ארז, אביתר בנאי ו-Tess הם בין השמות שייקחו חלק בפסטיבל אינדינגב, שיתקיים בין ה-20 ל-22 באוקטובר.	Afghan Whigs, Shalomi Shephan, Nega Erez, Abhir Bani and Tess are among the names taking part in the Indiegogo festival, taking place from October 20 to 22.	yes
השנה יציין הפסטיבל 15 שנים להקמתו והיום (רביעי) מפרסמת הפקת הפסטיבל את רשימת המשתתפים באירוע המדברי.	This year the festival will mark its 15th anniversary and today (Wednesday) the festival production company publishes the list of participants in the desert event.	yes
מוזיקאים אחרים המופיעים בליינאפ כוללים את: הילה רוח, טדי נגוסה, דניאלה ספקטור, יובל מנדלסון והמסע לפולין, להקת המסך הלבן, ריף כהן, קרולינה, עטר מיינר, רבע לאפריקה, פול טראנק, עילי אשדות ורבים אחרים.	Other musicians who appear on the lineup include: Hilla Goh, Teddy Nagosa, Daniela Spector, Jubel Mendelsohn and the Journey to Poland, The White Screen Band, Riff Cohen, Carolina, Perfume Minor, Quarter to Africa, Paul Trunk, The Ashes, and many others.	yes
אינדינגב החל את דרכו בשנת 2007 כאירוע נישתי קטן, שאיגד את השמות החמים בסצנת האינדי הישראלית.	Indingv began in 2007 as a small niche event that brought together the hot names in the Israeli indie scene.	yes
עם השנים הוא הפך לאירוע עלייה לרגל עבור חובבי מוזיקה רבים, והחל לארח שמות בינלאומיים, לצד אמנים מיינסטרימים.	Over the years it has become a regular event for many music lovers, and began to host international names, alongside mainstream artists.	yes
אביב גפן ושרית חדד: פסטיבל חוצות היוצר בירושלים בהפתעות חדשות	Spring of the Vine and the Harvest of Hadad: an outdoor festival creating new surprises in Jerusalem	yes
הפסטיבל הבינלאומי בבירה, שהפך למסורת ויתקיים במספר מוקדים יציג מופעים מוזיקליים של אמנים מקומיים מובילים, וישלב מופעי קרקס ומיצגים אמנותיים חדשניים ומפתיעים	The Beirut International Festival, which has become a tradition and will take place in several venues, will feature music performances by leading local artists, and will combine circus shows with innovative and surprising artistic performances.	yes
.	I know.	no
כמו כל קיץ לאורך השנים, לצד החום, הלחות והשעמום של התלמידים, מגיע גם הפסטיבל הבינלאומי חוצות היוצר ירושלים, שכבר הפך למסורת בבירה ויתקיים במספר מוקדים (בהם גן מיטשל, בריכת הסולטן, אל מול מגדל דוד ולמרגלות חומות העיר העתיקה) - בין התאריכים 15-27 באוגוסט.	As every summer over the years, along with the heat, humidity and boredom of the students, comes the International Outdoor Festival Creating Jerusalem, which has already become a tradition in Beirut and will be held in several locations (including Mitchell Garden, the Sultan Pool, in front of the Tower of David and at the foot of the Old City Walls) between August 15 and August 27.	yes
במסגרת הפסטיבל יתקיימו בכל יום מופעים מוזיקליים של אמנים רבים בהם שרית חדד, קובי פרץ, אביב גפן והתעויוט שיארחו את החברים של נטאשה, שלומי שבת, עידן חביב, נתן גושן, נסרין קדרי, דני סנדרסון שיארח את תיסלם ואמיר דדון, נגה ארז ועוד.	During the festival there will be daily musical performances by many artists, including Shirt Haddad, Koby Peretz, Spring of Vine and Taout who will host Natasha's friends, Shalomi Shabbat, Era Habib, Nathan Ghosn, Nasrin Kadri, Danny Sanderson who will host Tislam and Amir Daddon, Negah Erz and more.	yes
לצד המוסיקה השנה יתקיימו שני מופעים מסקרנים.	Alongside the music, there will be two interesting performances this year.	yes
הראשון הוא ARTISTA - תערוכת מיצגים מוארים במרחב הציבורי (עיצוב: פיליפ בלאו) עם דמויות מגלקסיות אחרות שיסתובבו בין המבקרים בתוך מבנה ויציגו הרפתקה שלמה באור וגם בלילה.	The first is ARTISTA - an exhibition of illuminated representations in public space (designed by Philippe Blau) with other galactic figures that will move among visitors inside a structure and present an entire adventure in both light and night.	yes
המיצג התיאטרלי ישלב רקדנים, שחקנים, ואמני תיאטרון פיזי שיתקשרו עם הקהל.	The play will incorporate dancers, actors, and physical theater artists who will connect with the audience.	yes
SPARKS הוא מופע קרקס, תנועה וריחוף אווירי של קרקס Y, תערוכת צילום אינסטגרמית בהשראת יצירות אמנות מפורסמות.	SPARKS is a circus, movement and aerial show of Circus Y, an Instagram photography exhibition inspired by famous artworks.	yes
The Black Box Gallery – היא גלריית ההצצה של היוצר והמבצע ליאור כלפון, שתוצב ברחבת היריד עם חורי הצצה שיחשפו את הקהל לתערוכת יצירותיו הזרחניות של ליאור כלפון, יצירות אמנות של פסלים מוארים של האמן הרב תחומי אלון בירגר (תיאטרון האור) ועוד.	The Black Box Gallery is a gazebo of the inventor and operator Lior Calafon, set up in the fair grounds with gazebo holes that exposed the audience to exhibitions of his fluorescent works of Lior Calafon, artworks of illuminated sculptures of the multi-dimensional artist Alon Birger (Theatre of Light) and more.	yes
צפו: תמיר גרינברג על מערכת היחסים עם אביו	Tamir Greenberg on his relationship with his father	yes
זוכה "הכוכב הבא" מוצא סינגל שני וחוזר אל זיכרונות ילדותו ולנוכחות המשמעותית של אביו בחייו •	"Next Star" winner finds a second single and returns to his childhood memories and his father's significant presence in his life.	yes
"השיר מספר על הדרך לשמור על הקשר מרחוק", הוא מספר	"The song is about how to keep the contact at a distance", he says.	yes
תמיר גרינברג בסינגל שני בשם Into The Night לאחר שכבש את הקהל עם הסינגל הראשון שלו ובהשתתפותו ב"הכוכב הבא".	Tamir Greenberg on second single Into The Night after conquering the audience with his first single and appearing in "The Next Star".	yes
בחודשים האחרונים ממשיך גרינברג בהופעות רבות: היכל תרבות ת"א, משכן האופרה ת"א, אמפי שוני, אמפי גני יהושוע, האנגר 11 ועוד עשרות מופעים.	In recent months Greenberg has continued to make many appearances: at the TMA Culture Hall, TMA Opera House, Shawnee Amphitheater, Joshua Gardens Amphitheater, Hangar 11 and dozens of other shows.	yes
את השיר Into The Night הפיק ועיבד גרינברג יחד עם המפיק סתיו בגר.	Into The Night was produced and mixed by Greenberg with producer Autumn Baguerre.	yes
הקליפ, בבימויה של דריה גלר, מחזיר את תמיר לזיכרונות מילדותו ולנוכחות המשמעותית של אביו בחייו.	The video, directed by Darya Geller, brings Shamir back to his childhood memories and the significant presence of his father in his life.	yes
"השיר מדבר על היחסים בין אבא שלי לביני.	"The song is about the relationship between my father and me.	yes
על התקופה שעזבתי את הארץ לארה"ב והדרך לשמור על הקשר מרחוק", מספר גרינברג.	About the time I left the country for the US and how to keep in touch at a distance", Greenberg says.	yes
