בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: three cheetah cubs were born in Iran	yes
יש לי מעריצים נהדרים ברוסיה, ואני יודע שרוסים רבים מתנגדים בתוקף לפעולות משטרו של פוטין.	I have great admirers in Russia, and I know that many Russians strongly oppose the actions of Putin's regime.	no
אם הייתי יכול לנגן בשבילם - הייתי עושה זאת".	If I could play for them, I would."	no
לאור הירידה בתחלואה: פרויקטור הקורונה יחזור לנהל את ביה"ח זיו	In light of the decline in morbidity: The Corona Project will return to manage Ziv Hospital	yes
פרופ' סלמן זרקא מונה לתפקיד ביולי 2021 והוביל את מדיניות הטיפול בקורונה בגל השלישי ובגל הרביעי •	Prof. Salman Zarka was appointed to the position in July 2021 and led the policy of dealing with COVID-19 in the third and fourth waves •	yes
לבקשת שר הבריאות ניצן הורוביץ, ימשיך במקביל בתפקידו כפרויקטור •	At the request of Health Minister Nitzan Horowitz, he will continue in his role as projector •	yes
פרופ' זרקא: "שמח שגל האומיקרון ממשיך לדעוך, ועדיין חובתנו להיערך לגל נוסף"	Prof. Zarka: "Glad that the Omicron wave continues to wane, and it is still our duty to prepare for another wave"	yes
.	.	no
על רקע הירידה בתחלואת הקורונה, פרויקטור הקורונה, פרופ' סלמן זרקא, יחזור לנהל את בית החולים זיו שבצפת ביום ראשון.	Against the background of the decline in coronavirus morbidity, the coronavirus projector, Prof. Salman Zarka, will return to manage Ziv Hospital in Safed on Sunday.	yes
לבקשת שר הבריאות ניצן הורוביץ, ימשיך במקביל בתפקידו כפרויקטור.	At the request of Health Minister Nitzan Horowitz, he will continue in his role as projector.	yes
"אני שמח למען אזרחי ישראל שגל האומיקרון ממשיך לדעוך ושקיבלנו את אורח חיינו הרגיל בחזרה", אמר פרופ' זרקא, והוסיף: "עדיין חובתנו להיערך לגל תחלואה נוסף כנגזרת מכך שהנגיף עודנו כאן, בישראל וברחבי העולם".	"I am happy for the citizens of Israel that the Omicron wave continues to wane and that we have returned to our normal way of life," Prof. Zarka said, adding: "It is still our duty to prepare for another wave of morbidity as a result of the fact that the virus is still here, in Israel and around the world."	yes
פרופ' זרקא מונה לתפקיד ביולי 2021 והוביל את מדיניות הטיפול בקורונה בגל השלישי ובגל הרביעי.	Prof. Zarka was appointed to the position in July 2021 and led the policy of dealing with COVID-19 in the third and fourth waves.	yes
החל מה-1 במאי חזרה ישראל למצב של "בין גלים", שכולל צמצום מרבית מערכי הקורונה, תוך שמירה על יכולות לביצוע בדיקות ריצופים וחקירות, שיהוו בסיס לפעולה במקרה שיתגלה וריאנט חדש.	As of May 1, Israel returned to a state of "between waves," which includes reducing most of the coronavirus systems, while maintaining its ability to conduct sequencing tests and investigations, which will serve as a basis for action in the event that a new variant is discovered.	yes
תחלואה סמויה	Latent morbidity	no
בדו"ח מרכז הידע והמידע הלאומי למערכה בקורונה, שפורסם הבוקר, צוין כי "ישנה ירידה בממוצע המאומתים החדשים אל מתחת לאלפיים ליום, בממוצע השבועי, לצד ירידה במספר המאושפזים ובמאושפזים במצב קשה".	A report by the National Information and Information Center for the Coronavirus Campaign, published this morning, noted that "there is a decline in the average of new confirmed cases to below 2,000 per day, on the weekly average, alongside a decline in the number of hospitalized and those hospitalized in serious condition."	no
עם זאת הדגישו כי "קיימת תחלואה סמויה בהיקפים משמעותיים ובפועל מספר הנדבקים גבוה בהרבה.	However, they emphasized that "there is a significant amount of latent morbidity, and in practice the number of cases is much higher.	no
מספר הבדיקות המוסדיות שמתבצעות בקהילה (ללא שקלול בדיקות השבים מחו"ל, מ.י) - נמוך, ועומד על פחות מ-20 אלף בדיקות בממוצע שבועי בלבד.	The number of institutional tests carried out in the community (without taking into account tests returning from abroad) is low, and stands at less than 20,000 tests on a weekly average only.	no
היקף הבדיקות הנמוך מקשה על זיהוי מגמות התחלואה והבנתן".	The low volume of testing makes it difficult to identify and understand morbidity trends."	no
דו"ח מבקר המדינה: התקציב בפועל ברוב שנות פעילות ועדת סל התרופות – קטן מהתקציב המומלץ	State Comptroller's Report: The actual budget in most years of activity of the Medicines Basket Committee is smaller than the recommended budget	yes
על פי הדו"ח של מתניהו אנגלמן, במשך יותר מ-20 שנות פעילות הסל – משרד הבריאות לא פיקח על פעילות הוועדה •	According to Matanyahu Engelman's report, during more than 20 years of activity of the basket, the Ministry of Health did not supervise the committee's activity •	yes
עוד נכתב בדו"ח כי פרוטוקולי הישיבות הישיבות מתפרסמים באיחור משמעותי, אם בכלל •	The report also states that the minutes of the meetings are published significantly late, if at all •	yes
כמו כן, המבקר ממליץ להגביר את שקיפות פעילות ועדת המשנה – ולעדכן את נהלי עבודת הסל •	In addition, the Comptroller recommends increasing the transparency of the subcommittee's activities – and updating the basket's work procedures •	yes
ליקוי נוסף שנמצא נוגע לכך שמאז שהוועדה החלה את פעילות, משרד הבריאות לא ביקש מקופות החולים דיווחים על היקף השימושים וניצול התרופות שבסל – מה שהיה מאפשר לנתח ולבקר את התקציב שניתן להן.	Another flaw found relates to the fact that since the committee began its activity, the Ministry of Health has not asked the health funds for reports on the scope of uses and utilization of the drugs in the basket – which would have made it possible to analyze and control the budget given to them.	yes
ועדת סל התרופות היא אחת הוועדות הציבוריות המשפיעות ביותר על חיי היומיום שלנו ועל בריאותנו.	The Medicines Basket Committee is one of the most influential public committees on our daily lives and health.	yes
מדי שנה, מחליטה הוועדה על תרופות חדשות שיינתנו לציבור ללא תשלום באמצעות קופות החולים – אך דו"ח חדש של מבקר המדינה שפורסם היום (שלישי) מתריע כי זו פועלת במשך יותר מ-20 שנה מבלי שנעשו דו"חות בקרה על פעילותה ומבלי שמשרד הבריאות ומועצת הבריאות מפקחים ובוחנים את פעילותה.	Every year, the committee decides on new drugs that will be given to the public free of charge through the health funds – but a new report by the State Comptroller published Tuesday warns that the company has been operating for more than 20 years without inspection reports on its activity and without the Ministry of Health and the Health Council supervising and examining its activity.	yes
