בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Breeders' Puppies Born in Iran	yes
"אני אוהבת קיצורי דרך.	♪ I like shortcuts ♪	yes
למשל, במקום לקלף 10 בצלים, לחתוך ולבכות, אני קונה שקית בצל קפוא ומטגנת אותו.	For example, instead of peeling 10 onions, cutting and crying, I buy a bag of frozen onions and fry them.	no
על שולחן השבת שלי אפשר למצוא מנות בשר, מנות טופו טבעוניות, תפוחי אדמה וכרובית בתנור.	On my Saturday table, you can find steak, vegan tofu, potatoes and cabbage in the oven.	no
את רוב הבישולים אני מכינה, והם כמובן מתחממים על הפלטה בשבת.	Most of the cooking is done by me, and they're heated on the stove on Saturdays, of course.	no
אלחנדרו, בן זוגי, מכין מרק עוף, סלט ירקות ובחורף - את הצ'ולנט".	Alejandro, my partner, makes chicken soup, vegetable salad and in the winter - the chulnut".	no
בעלך הוא אדם דתי ואת מבית חילוני.	Your husband is a religious man and you come from a secular home.	no
איך זה עובד?	How does it work?	no
"לגור עם שומר שבת זו התפשרות אינסופית.	"Living with a Sabbath keeper is an infinite compromise.	no
'ואהבת לרעך כמוך', הלכה למעשה.	"And love thy neighbor as thyself", went the way of it.	no
לטיולים משפחתיים הוא לא יכול לצאת, אז מצאתי את עצמי הרבה פעמים אורזת את הילדים ומצטרפת לטיולי משפחות של חברים.	Family outings he can't go on, so I found myself packing up the kids and joining friends' families outings a lot.	no
בנוסף, אני גם הנהגת התורנית של הילדים, זו שמחזירה אותם בשישי בלילה ממסיבות וממפגשים.	Plus, I'm the kids' shift driver, the one who picks them up on Friday nights from parties and get-togethers.	no
מצד שני, אני גם נהנית מיתרונות השבת שלו, כי בדרך כלל אני לא מופיעה בשבת ומקבלת מעין 'חופשה כפויה' - וטוב שכך".	On the other hand, I also enjoy the benefits of his Sabbath, because I usually don't show up on Saturday and get a sort of 'forced leave' - and that's a good thing".	no
את מי היית רוצה לארח בשבת?	Who would you like to have over on Saturday?	no
"הייתי פותחת שולחן גדול ומזמינה את 'המתים שלי'.	"I would open a big table and invite my dead.	no
לפעמים אני מדמיינת מה היה אילו אחי דניאל ז"ל היה בחיים, או אם אבא שלי, שניאור ז"ל, היה רואה את הילדים שלי: אוריאל (23) והתאומות תמרה ונעמה (16 וחצי).	Sometimes I wonder what it would be like if my brother Daniel, Jr., were alive, or if my father, Shneur, Jr., could see my children, Uriel, 23, and the twins Tamar and Naamah, 16.	no
בטח היינו רבים על כדורגל ופוליטיקה ומתמוגגים אלה מאלה".	We probably fought about football and politics and brands and stuff".	no
יש לך זיכרון ילדות מיוחד מסופי השבוע?	Do you have any special childhood memories from the weekends?	no
"היינו משפחה חמה ומאוחדת.	"We were a warm and united family.	no
בשישי בצהריים אמא היתה מכינה ערימת שניצלים, מביאה מהשוק חומוס ופיתות ושורפת חצילים לסלט טחינה.	Friday afternoons, Mom would make a pile of noodles, bring hummus and lures from the market, and burn the garlic for a salad.	no
אחר כך היינו נוסעים לדודה חנה ביד אליהו, או כמו שהיא היתה אומרת 'יד אליָיְקֶ'ה', והיא היתה מכינה בלינצ'סים.	Then we'd go to Aunt Hannah's with Elijah's hand, or as she used to say, "Elijah's hand", and she'd make linchpins.	no
מכיוון שרק אני לא אהבתי צימוקים, היא היתה מכינה לי כמה ללא צימוקים.	Since I was the only one who didn't like raisins, she'd make me some without raisins.	no
היא ראתה אותי, הקטנה שבאחים, ודאגה לי.	She saw me, the little one, and she worried about me.	no
בשבתות היינו עושים סיור עם אבא שלי בנמל יפו, והוא היה מראה לנו מאיפה הוא ואחיו התאום, גרישה, הגיעו לארץ בלי כלום".	On Saturdays, my father and I would tour the port of Jaffa, and he would show us how he and his twin brother, Grisha, had come to this country with nothing".	no
פיינליסטית "אקס פקטור" ענבל ביבי תשתתף במחזמר "הלהקה"	X Factor finalist Enbal Bibby will be performing in the musical "The Band".	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי •	Bibi competed in the final season of The X Factor and finished in third place.	yes
היא תשחק בתפקיד נועה שאותו גילמה דפנה ארמוני	She'll be playing a moving role played by Daphne Armoni.	yes
פיינליסטית ״אקס פקטור״, ענבל ביבי, לוהקה למחזמר ״הלהקה״ שיעלה בתיאטרון הארצי ותשחק בתפקיד נועה.	X Factor finalist, Emmel Beebe, has been cast in the musical The Band, which will be staged at the National Theatre, playing a moving role.	yes
ביבי השתתפה בעונה האחרונה של ״אקס פקטור״ וסיימה במקום השלישי והמכובד.	Bibi competed on the last season of The X Factor and finished in a respectable third place.	yes
כעת מתגלה שיש חיים אחרי הריאליטי והיא מצטרפת למחזמר ״הלהקה״.	Now she finds out there's a life after reality and she joins the band.	yes
ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.	Bibi will play the role of Moha, played by Daphne Armoni.	yes
ביבי תצטרף לעמית פרקש, נאיה בינשטוק, ים רפאלי, נופר סלמאן, שי המבר, אלישע בנאי ועוד.	Bibi will be joined by Amit Parakhsh, Naya Binstock, Zee Raphael, Noper Salman, Shee Hamber, Elisha Banai and many more.	yes
ג'ניפר לופז ובן אפלק התארסו	Jennifer Lopez and Ben Affleck are engaged.	no
כמעט שני עשורים אחרי סיפור האהבה שלהם שנגמר בפרידה, לופז ואפלק חוזרים זה לזרועות זו •	Nearly two decades after their love story ended in divorce, Lopez and Aflek are back in each other's arms.	no
לופז נפרדה משחקן הבייסבול אלכס רודריגז באפריל 2021	Lopez parted ways with baseball player Alex Rodriguez in April 2021	no
.	I know.	no
האחת שלו: כמעט שני עשורים אחרי סיפור האהבה הראשון שלהם שנגמר בפרידה ושנה לאחר הקאמבק המתוקשר, ג'ניפר לופז ובן אפלק סוגרים מעגל רומנטי ומאורסים.	His one: almost two decades after their first love affair ended in divorce and a year after their reuniting, Jennifer Lopez and Ben Affleck are closing a romantic circle and getting engaged.	no
את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com	The happy news was shared last night by Lopez with her fan on her official website onthejlo.com	no
.	I know.	no
הידיעה על האירוסין מגיעה לאחר שהשבוע תועדה לופז מסתובבת כשטבעת יהלום ענקית נראית בבירור על אצבע האירוסין שלה.	News of the engagement comes a week after Lopez was reported to be spinning as a giant diamond ring was clearly visible on her engagement finger.	no
